Nom Produits;Année;Mois;Quantité commandé;Montant commandé
Acefyl sp 120ml;2023;4;13;14 271
Acefyl sp 120ml;2023;2;13;14 433
Acefyl sp 120ml;2023;3;19;20 951
Acefyl sp 120ml;2023;1;11;12 096
Acefyl sp 120ml;2023;5;10;11 097
Acefyl sp 120ml;2023;6;16;17 759
Acefyl sp 120ml;2023;8;11;12 227
Acefyl sp 120ml;2023;7;10;11 080
Acfol 5mg cp bte/25;2023;8;36;65 571
Acfol 5mg cp bte/25;2023;7;24;43 396
Acfol 5mg cp bte/25;2023;3;37;67 289
Acfol 5mg cp bte/25;2023;5;27;49 067
Acfol 5mg cp bte/25;2023;6;22;56 427
Acfol 5mg cp bte/25;2023;4;28;52 793
Acfol 5mg cp bte/25;2023;1;30;54 476
Acfol 5mg cp bte/25;2023;2;34;61 888
Acfol 5mg cp bte/25;2023;9;11;19 866
Acicrof p cp b/10;2023;7;11;27 757
Acicrof p cp b/10;2023;6;11;28 247
Aclav 100/12.5 buv f/60ml;2023;4;8;22 680
Aclav 100/12.5 buv f/60ml;2023;3;14;44 772
Aclav 100/12.5 buv f/60ml;2023;9;8;23 355
Aclav 100/12.5 buv f/60ml;2023;5;15;42 335
Aclav 100/12.5 buv f/60ml;2023;2;8;21 104
Aclav 100/12.5 buv fl/30ml;2023;1;14;31 392
Aclav 100/12.5 buv fl/30ml;2023;3;25;56 085
Aclav 100/12.5 buv fl/30ml;2023;9;15;33 649
Aclav 100/12.5 buv fl/30ml;2023;4;32;71 811
Aclav 100/12.5 buv fl/30ml;2023;8;25;76 440
Aclav 100/12.5 buv fl/30ml;2023;6;29;65 965
Aclav 100/12.5 buv fl/30ml;2023;5;30;67 307
Aclav 100/12.5 buv fl/30ml;2023;7;13;30 043
Aclav 100/12.5 buv fl/30ml;2023;2;40;89 939
Aclav 1g bte 12;2023;2;46;202 455
Aclav 1g bte 12;2023;9;27;118 898
Aclav 1g bte 12;2023;8;23;101 215
Aclav 1g bte 12;2023;4;36;158 495
Aclav 1g bte 12;2023;3;22;96 848
Aclav 1g bte 12;2023;5;22;96 779
Aclav 1g bte 12;2023;6;34;149 214
Aclav 1g bte 12;2023;1;38;167 249
Aclav 1g bte 12;2023;7;24;102 674
Aclav 500 sach b/12 ;2023;5;9;38 072
Actrapid ins;2023;4;11;10 988
Actrapid ins;2023;3;14;13 988
Acupan 20mg inj  B/5amp;2023;2;95;317 275
Advilmed sp ped f/200ml;2023;8;40;107 594
Advilmed sp ped f/200ml;2023;1;23;62 027
Advilmed sp ped f/200ml;2023;6;17;45 891
Advilmed sp ped f/200ml;2023;7;15;40 481
Advilmed sp ped f/200ml;2023;9;26;65 322
Advilmed sp ped f/200ml;2023;5;14;37 800
Advilmed sp ped f/200ml;2023;4;25;67 500
Advilmed sp ped f/200ml;2023;3;23;62 100
Advilmed sp ped f/200ml;2023;2;24;64 786
Aerius sp 0,5mg/ml Fl/60ml;2023;1;10;37 732
Aerius sp 0,5mg/ml Fl/60ml;2023;2;27;91 693
Aerius sp 0,5mg/ml Fl/60ml;2023;5;12;45 223
Aerius sp 0,5mg/ml Fl/60ml;2023;3;14;52 811
